"group","variable","type","definition","applies_to","source","allowed_values_or_units","missingness","notes"
"Row and source identifiers","effect_id","character","Unique row identifier for the merged ClinicalTrials.gov effect row.","all rows","BEAR processing","ClinicalTrials.gov merge identifier","not missing","Author rows keep the author effect identifier as the row identifier."
"Row and source identifiers","author_effect_id","character","Identifier for the author-reported outcome-analysis effect row.","author-reported rows","AACT outcome_analyses","ClinicalTrials.gov author-effect identifier","missing for raw-only rows","Used to trace rows back to source-reported analyses."
"Row and source identifiers","raw_effect_id","character","Identifier for the selected raw endpoint calculation row.","raw-only rows","BEAR raw endpoint calculations","ClinicalTrials.gov raw endpoint identifier","missing for author-reported rows","Used to trace rows back to raw result-group calculations."
"Row and source identifiers","effect_source","character","Source of the effect estimate used for b, se, z, and z_operator.","all rows","BEAR processing","author_reported; raw_derived","not missing","Use include_in_bear, not effect_source alone, for the main BEAR inclusion rule."
"Row and source identifiers","include_in_bear","logical","Whether this row is used by the main BEAR ClinicalTrials.gov build. TRUE keeps author-reported rows and raw-derived rows only when no author-reported overlap is available.","all rows","BEAR processing","TRUE; FALSE","not missing","Use this field to follow the rule: use author-reported effects when available, otherwise use raw-derived effects."
"Row and source identifiers","import_decision","character","Import decision for the row after author-reported and raw-derived overlaps are compared.","all rows","BEAR processing","include_author_preferred; include_raw_only; exclude_author_preferred_overlap","not missing","Rows marked exclude_author_preferred_overlap are retained for linkage/audit but not used by the main BEAR build."
"Row and source identifiers","author_raw_overlap_key","character","Shared key for linking author-reported rows to raw-derived rows for the same study, outcome, and result-group pair.","rows with a two-group comparison","BEAR processing","nct_id, outcome_id, and result-group pair key","missing when no group pair is available","Joining by this key can return multiple raw rows for one author row because ClinicalTrials.gov can store many measurement strata under the same outcome and groups."
"Row and source identifiers","nct_id","character","ClinicalTrials.gov study identifier.","all rows","AACT studies","NCT identifier","not missing","Primary study-level identifier."
"Row and source identifiers","outcome_id","character","AACT outcome identifier linked to the effect row.","all rows","AACT outcomes","AACT outcome id","not missing","Identifies the registry outcome."
"Row and source identifiers","outcome_analysis_id","character","AACT outcome-analysis identifier for source-reported analyses.","author-reported rows","AACT outcome_analyses","AACT outcome analysis id","missing for raw-only rows","Raw-only rows are derived from result-group measurements rather than outcome-analysis rows."
"Study characteristics","brief_title","character","Brief trial title.","all rows","AACT studies","free text","occasionally missing",""
"Study characteristics","official_title","character","Official trial title.","all rows","AACT studies","free text","may be missing",""
"Study characteristics","study_type","character","ClinicalTrials.gov study type.","all rows","AACT studies","ClinicalTrials.gov study type","not missing","ClinicalTrials.gov contains other study types; the main BEAR ClinicalTrials.gov dataset keeps interventional randomized trial rows."
"Study characteristics","phase","character","Trial phase as recorded by ClinicalTrials.gov.","all rows","AACT studies","ClinicalTrials.gov phase label","may be missing",""
"Study characteristics","overall_status","character","ClinicalTrials.gov recruitment or completion status.","all rows","AACT studies","ClinicalTrials.gov status label","not missing","The public analytic file keeps completed studies only."
"Study characteristics","year","integer","Year used by BEAR for time summaries.","all rows","BEAR processing","calendar year","may be missing","Taken from completion timing when available and otherwise from posted-results timing."
"Study characteristics","enrollment","numeric","Trial enrollment count.","all rows","AACT studies","participants","may be missing",""
"Study characteristics","enrollment_type","character","Whether enrollment is actual or anticipated.","all rows","AACT studies","ClinicalTrials.gov enrollment type","may be missing",""
"Study characteristics","number_of_arms","numeric","Number of intervention arms recorded in the ClinicalTrials.gov study design table.","all rows","AACT designs","arms","may be missing",""
"Study characteristics","number_of_groups","numeric","Number of observational groups recorded in the ClinicalTrials.gov study design table; usually missing for interventional trials.","all rows","AACT designs","groups","may be missing",""
"Study characteristics","results_first_posted_year","integer","Calendar year when results were first posted.","all rows","BEAR processing","calendar year","may be missing","Derived from results_first_posted_date."
"Study characteristics","primary_completion_year","integer","Calendar year of primary completion.","all rows","BEAR processing","calendar year","may be missing","Derived from primary_completion_date."
"Study characteristics","n_effect_rows_per_study","integer","Number of public candidate effect rows linked to the same ClinicalTrials.gov study.","all rows","BEAR processing","rows","not missing","Counts include author-reported rows, raw-only rows, and overlapping raw rows retained for linkage/audit. The main BEAR build excludes studies with 20 or more candidate rows."
"Study characteristics","n_outcomes_per_study","integer","Number of distinct outcome IDs represented for the same ClinicalTrials.gov study in the public file.","all rows","BEAR processing","outcomes","not missing","Primary outcome can be represented by more than one ClinicalTrials.gov outcome ID."
"Study characteristics","allocation","character","Allocation design recorded for the study. The main BEAR ClinicalTrials.gov dataset keeps randomized rows; non-randomized and missing-allocation rows remain identifiable in the public file.","all rows","AACT designs","ClinicalTrials.gov allocation label","may be missing","ClinicalTrials.gov includes non-randomized and missing-allocation records; the main BEAR mixture analysis filters to randomized interventional trials."
"Study characteristics","intervention_model","character","Intervention model recorded for the study. The main BEAR ClinicalTrials.gov dataset does not filter on intervention model, although the raw-derived endpoint path is restricted to eligible randomized parallel interventional trials.","all rows","AACT designs","ClinicalTrials.gov intervention model","may be missing",""
"Study characteristics","primary_purpose","character","Primary purpose recorded for the study. The main BEAR ClinicalTrials.gov dataset does not filter on primary purpose.","all rows","AACT designs","ClinicalTrials.gov primary purpose","may be missing",""
"Study characteristics","observational_model","character","Observational model if applicable; this is usually present only for observational studies and is therefore missing for most interventional rows.","all rows","AACT designs","ClinicalTrials.gov observational model","usually missing","Most retained rows are interventional studies."
"Study characteristics","masking","character","Masking design recorded for the study.","all rows","AACT designs","ClinicalTrials.gov masking label","may be missing",""
"Study characteristics","is_factorial","logical","Whether the intervention model indicates a factorial design.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Study characteristics","is_crossover","logical","Whether the intervention model indicates a crossover design.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Study characteristics","n_design_groups","integer","Number of design-group records linked to the study. Unlike number_of_arms, this is counted from the design_groups table and is available for comparator summaries.","all rows","AACT design_groups","groups","not missing","Study-level arm-count summary."
"Study characteristics","has_placebo_comparator","logical","Whether any design-group record appears to be a placebo comparator.","all rows","BEAR processing","TRUE; FALSE","not missing","Based on design-group text."
"Study characteristics","comparator_summary","character","Compact study-level comparator summary derived from design-group labels and descriptions.","all rows","BEAR processing","semicolon-delimited labels","may be missing",""
"Study characteristics","is_multi_arm","logical","Whether the study has more than two arms or groups.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Study characteristics","has_baseline_measurements","logical","Whether baseline measurement rows were available in AACT.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","domain_all","character","All mapped clinical domains for the trial.","all rows","BEAR processing","semicolon-delimited labels","may be missing","Mapped from AACT conditions and MeSH terms."
"Trial categories","domain_n","integer","Number of mapped clinical domains for the trial.","all rows","BEAR processing","domains","not missing",""
"Trial categories","domain_source","character","Source used for domain mapping.","all rows","BEAR processing","mapping source label","may be missing",""
"Trial categories","domain_oncology","logical","Whether the trial maps to oncology.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","domain_primary","character","Primary mapped clinical domain.","all rows","BEAR processing","domain label","may be missing",""
"Trial categories","intervention_types_all","character","All intervention types recorded for the study.","all rows","AACT interventions","semicolon-delimited ClinicalTrials.gov intervention types","may be missing",""
"Trial categories","intervention_type_n","integer","Number of intervention types recorded for the study.","all rows","BEAR processing","types","not missing",""
"Trial categories","intervention_type_primary","character","Primary intervention type used for summaries.","all rows","BEAR processing","ClinicalTrials.gov intervention type","may be missing",""
"Trial categories","is_drug_trial","logical","Whether any intervention is coded as drug.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_biological_trial","logical","Whether any intervention is coded as biological.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_device_trial","logical","Whether any intervention is coded as device.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_procedure_trial","logical","Whether any intervention is coded as procedure.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_behavioral_trial","logical","Whether any intervention is coded as behavioral.","all rows","BEAR processing","TRUE; FALSE","not missing",""
"Trial categories","is_vaccine_trial","logical","Whether intervention text indicates a vaccine trial.","all rows","BEAR processing","TRUE; FALSE","not missing",""
